City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.08,-159.32,82.4,65,1,4.7,clear sky
1,Hervey Bay,AU,-25.3,152.85,72.0,93,81,4.0,broken clouds
2,Cape Town,ZA,-33.93,18.42,64.0,67,0,3.36,clear sky
3,Bubaque,GW,11.28,-15.83,80.83,62,0,10.4,clear sky
4,Port Alfred,ZA,-33.59,26.89,66.0,96,25,18.01,scattered clouds
5,Barkhera,IN,28.45,79.8,52.47,68,0,7.56,clear sky
6,Punta Arenas,CL,-53.15,-70.92,51.8,57,40,24.16,scattered clouds
7,Inuvik,CA,68.35,-133.72,-32.8,66,30,4.7,scattered clouds
8,Olafsvik,IS,64.89,-23.71,38.5,78,99,23.85,light rain
9,Sakaiminato,JP,35.55,133.23,44.6,90,75,13.87,light intensity shower rain
10,Husavik,IS,66.04,-17.34,39.2,82,90,6.93,overcast clouds
11,Los Llanos De Aridane,ES,28.66,-17.92,66.2,82,90,2.24,overcast clouds
12,Severo-Kurilsk,RU,50.68,156.12,35.78,92,100,44.83,snow
13,Katsina,NG,12.99,7.6,72.57,21,0,4.23,clear sky
14,Mataura,NZ,-46.19,168.86,55.99,74,91,8.99,overcast clouds
15,Rikitea,PF,-23.12,-134.97,76.26,70,38,6.24,scattered clouds
16,Tuktoyaktuk,CA,69.45,-133.04,-5.8,76,75,12.75,broken clouds
17,Avarua,CK,-21.21,-159.78,84.2,79,52,6.93,broken clouds
18,Bluff,NZ,-46.6,168.33,55.99,74,100,8.99,overcast clouds
19,New Norfolk,AU,-42.78,147.06,71.01,54,0,3.0,clear sky
20,Souillac,MU,-20.52,57.52,75.2,88,75,13.87,shower rain
21,Hobart,AU,-42.88,147.33,71.01,49,20,14.99,few clouds
22,Yaguajay,CU,22.33,-79.24,76.03,85,23,10.45,few clouds
23,Maine-Soroa,NE,13.21,12.02,74.5,19,0,6.89,clear sky
24,Ushuaia,AR,-54.8,-68.3,48.2,60,40,18.34,light rain
25,Albany,US,42.6,-73.97,44.01,65,100,9.31,overcast clouds
26,Ballina,AU,-28.87,153.57,71.6,83,90,27.51,overcast clouds
27,Lompoc,US,34.64,-120.46,62.01,82,1,5.82,clear sky
28,Chuy,UY,-33.7,-53.46,69.31,70,100,13.29,overcast clouds
29,Laguna,US,38.42,-121.42,53.01,93,90,13.87,mist
30,Atuona,PF,-9.8,-139.03,79.47,70,1,14.45,clear sky
31,Chodavaram,IN,17.83,82.95,66.2,93,14,2.24,mist
32,Xunchang,CN,28.45,104.72,44.55,91,100,5.55,overcast clouds
33,Pisco,PE,-13.7,-76.22,71.6,73,0,24.16,clear sky
