City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nikki,9.94,3.21,97.27,13,94,3.74,BJ,12/5/2020 14:41
1,Mataura,-46.19,168.86,48,81,23,1.99,NZ,12/5/2020 14:41
2,Saint George,37.1,-113.58,28.4,36,1,2.86,US,12/5/2020 14:39
3,Cocorit,27.58,-109.97,41,56,5,3.36,MX,12/5/2020 14:41
4,Pevek,69.7,170.31,0.48,90,64,9.17,RU,12/5/2020 14:41
5,Doha,25.29,51.53,80.6,78,20,12.75,QA,12/5/2020 14:41
6,Kapuskasing,49.42,-82.43,14,92,69,3.36,CA,12/5/2020 14:41
7,Las Vegas,36.17,-115.14,39.99,29,1,4.7,US,12/5/2020 14:37
8,Ahipara,-35.17,173.17,58.28,86,33,8.08,NZ,12/5/2020 14:41
9,Tiksi,71.69,128.87,-14.55,88,38,6.64,RU,12/5/2020 14:41
10,Hobart,-42.88,147.33,55,93,40,6.93,AU,12/5/2020 14:40
11,Khatanga,71.97,102.5,18.19,96,100,17.05,RU,12/5/2020 14:41
12,Cayenne,4.93,-52.33,82.4,88,75,3.36,GF,12/5/2020 14:38
13,Vila Franca Do Campo,37.72,-25.43,59,72,75,9.17,PT,12/5/2020 14:41
14,Arraial Do Cabo,-22.97,-42.03,84.2,74,75,8.05,BR,12/5/2020 14:41
15,Hermanus,-34.42,19.23,75.99,57,75,8.01,ZA,12/5/2020 14:37
16,Columbus,39.96,-83,39,81,75,6.93,US,12/5/2020 14:38
17,Thompson,55.74,-97.86,12.2,92,90,5.3,CA,12/5/2020 14:41
18,Ushuaia,-54.8,-68.3,53.6,66,75,13.87,AR,12/5/2020 14:41
19,Rikitea,-23.12,-134.97,76.17,76,0,13.51,PF,12/5/2020 14:41
20,Ambilobe,-13.2,49.05,80.71,74,66,4.12,MG,12/5/2020 14:41
21,Kuusamo,65.97,29.18,30.2,92,90,9.17,FI,12/5/2020 14:41
22,Albany,42.6,-73.97,39,76,100,1.01,US,12/5/2020 14:40
23,Pangnirtung,66.15,-65.71,13.89,86,84,3.4,CA,12/5/2020 14:41
24,Lakatoro,-16.1,167.42,77.54,80,87,3.85,VU,12/5/2020 14:41
25,Hilo,19.73,-155.09,69.8,77,40,5.82,US,12/5/2020 14:39
26,Lompoc,34.64,-120.46,41,59,1,8.05,US,12/5/2020 14:41
27,Leh,34.17,77.58,18.66,78,66,2.26,IN,12/5/2020 14:41
28,Kisangani,0.52,25.2,82.18,73,54,0.94,CD,12/5/2020 14:41
29,Hithadhoo,-0.6,73.08,83.03,77,12,19.46,MV,12/5/2020 14:41
30,Saskylakh,71.92,114.08,3.54,92,100,20.56,RU,12/5/2020 14:41
31,Necochea,-38.55,-58.74,72,36,0,6.44,AR,12/5/2020 14:41
32,Bilma,18.69,12.92,91.2,11,0,8.1,NE,12/5/2020 14:41
33,Hinesville,31.85,-81.6,46.99,70,1,10.29,US,12/5/2020 14:37
34,Ilulissat,69.22,-51.1,28.4,74,75,5.82,GL,12/5/2020 14:41
35,Victoria,22.29,114.16,64,64,0,7,HK,12/5/2020 14:38
36,Chissamba,-12.17,17.33,70.43,84,99,3.65,AO,12/5/2020 14:41
37,Los Llanos De Aridane,28.66,-17.92,68,60,40,21.92,ES,12/5/2020 14:41
38,Punta Arenas,-53.15,-70.92,55.4,66,0,23.04,CL,12/5/2020 14:38
39,Vostok,46.49,135.88,3.49,96,89,4.63,RU,12/5/2020 14:41
40,Nosy Varika,-20.58,48.53,79.45,77,100,6.13,MG,12/5/2020 14:41
41,Yellowknife,62.46,-114.35,23,92,75,9.17,CA,12/5/2020 14:41
42,Lagoa,39.05,-27.98,60.66,65,100,8.25,PT,12/5/2020 14:41
43,Nikolskoye,59.7,30.79,36,89,90,13.42,RU,12/5/2020 14:41
44,Carnarvon,-24.87,113.63,71.6,83,74,17.22,AU,12/5/2020 14:41
45,Cherskiy,68.75,161.3,-8.52,80,76,2.46,RU,12/5/2020 14:41
46,Iki-Burul,45.82,44.65,21.2,62,0,15.66,RU,12/5/2020 14:41
47,San Cristobal,7.77,-72.22,80.6,74,20,4.7,VE,12/5/2020 14:41
48,Butaritari,3.07,172.79,80.71,79,63,9.31,KI,12/5/2020 14:41
49,Azare,11.68,10.19,94.32,12,88,7.38,NG,12/5/2020 14:41
50,Harper,4.38,-7.72,82.96,74,73,8.01,LR,12/5/2020 14:41
51,Puerto Ayora,-0.74,-90.35,77,65,0,11.41,EC,12/5/2020 14:38
52,Provideniya,64.38,-173.3,15.96,86,1,2.75,RU,12/5/2020 14:41
53,Bethel,41.37,-73.41,35.6,93,90,12.75,US,12/5/2020 14:41
54,Saint-Philippe,-21.36,55.77,82.4,69,40,3.36,RE,12/5/2020 14:41
55,Plettenberg Bay,-34.05,23.37,68.72,75,0,15.61,ZA,12/5/2020 14:41
56,Cape Town,-33.93,18.42,80.6,42,0,16.11,ZA,12/5/2020 14:41
57,Teya,60.38,92.63,2.82,88,100,9.37,RU,12/5/2020 14:41
58,Broome,42.25,-75.83,39,80,90,12.75,US,12/5/2020 14:41
