City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karratha,-20.74,116.85,78.91,42,0,9.78,AU,2020-08-24 12:23:08
1,Hilo,19.73,-155.09,75.2,88,75,3.36,US,2020-08-24 12:20:06
2,Bengkulu,-3.8,102.27,81.18,79,11,11.86,ID,2020-08-24 12:23:09
3,Sola,-13.88,167.55,78.8,94,20,12.1,VU,2020-08-24 12:23:10
4,Tuktoyaktuk,69.45,-133.04,53.76,81,0,12.15,CA,2020-08-24 12:23:10
5,San Quintin,30.48,-115.95,71.87,87,2,9.75,MX,2020-08-24 12:23:12
6,Pachino,36.72,15.09,89.01,69,0,9.86,IT,2020-08-24 12:23:13
7,Tuatapere,-46.13,167.68,51.01,92,63,7.0,NZ,2020-08-24 12:23:13
8,Samarai,-10.62,150.67,76.78,87,100,19.44,PG,2020-08-24 12:23:14
9,Mataura,-46.19,168.86,51.01,92,68,7.0,NZ,2020-08-24 12:23:16
10,Saskylakh,71.92,114.08,52.43,62,3,13.6,RU,2020-08-24 12:18:23
11,Yellowknife,62.46,-114.35,48.0,93,20,5.82,CA,2020-08-24 12:23:18
12,Havre-Saint-Pierre,50.23,-63.6,59.0,72,1,6.93,CA,2020-08-24 12:23:19
13,Sunland Park,31.8,-106.58,80.01,36,1,5.82,US,2020-08-24 12:19:38
14,Angoram,-4.06,144.07,72.93,98,100,2.35,PG,2020-08-24 12:23:22
15,Jamestown,42.1,-79.24,71.01,100,1,4.7,US,2020-08-24 12:23:23
16,Souillac,-20.52,57.52,73.4,69,40,16.11,MU,2020-08-24 12:23:25
17,Sobolevo,54.43,31.9,70.34,72,100,7.18,RU,2020-08-24 12:23:25
18,Innisfail,-17.53,146.03,63.43,78,100,3.36,AU,2020-08-24 12:23:26
19,Alexandria,31.22,29.96,87.8,55,0,10.29,EG,2020-08-24 12:23:26
20,Lagoa,39.05,-27.98,73.36,88,7,21.39,PT,2020-08-24 12:23:27
21,Kilindoni,-7.91,39.67,78.46,66,28,8.68,TZ,2020-08-24 12:23:28
22,Hithadhoo,-0.6,73.08,83.53,72,89,11.3,MV,2020-08-24 12:23:29
